0,benchmark_monthly_ew_10bp,monthly_classic_6_12minus1_top3_none_core000_10bp,monthly_classic_6_12minus1_top3_none_core050_10bp,monthly_classic_6_12minus1_top3_none_core075_10bp,monthly_classic_6_12minus1_top3_none_core100_10bp,monthly_classic_6_12minus1_top3_ma200_core000_10bp,monthly_classic_6_12minus1_top3_ma200_core050_10bp,monthly_classic_6_12minus1_top3_ma200_core075_10bp,monthly_classic_6_12minus1_top3_ma200_core100_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core000_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core050_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core075_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core100_10bp,monthly_long_6_12_top3_none_core000_10bp,monthly_long_6_12_top3_none_core050_10bp,monthly_long_6_12_top3_none_core075_10bp,monthly_long_6_12_top3_none_core100_10bp,monthly_long_6_12_top3_ma200_core000_10bp,monthly_long_6_12_top3_ma200_core050_10bp,monthly_long_6_12_top3_ma200_core075_10bp,monthly_long_6_12_top3_ma200_core100_10bp,monthly_long_6_12_top3_ma200_r12_core000_10bp,monthly_long_6_12_top3_ma200_r12_core050_10bp,monthly_long_6_12_top3_ma200_r12_core075_10bp,monthly_long_6_12_top3_ma200_r12_core100_10bp,benchmark_bimonthly_ew_10bp
2009-06-01,1.0910329805466117,1.0843312480156806,1.0876815294363469,1.0893571087802794,1.0910329805466117,0.9993333333333333,1.0451884018104562,1.0681172973223194,1.0910329805466117,1.0,1.0455305065172849,1.0682877623077451,1.0910329805466117,1.0796164408259004,1.0853253886984549,1.0881794321951945,1.0910329805466117,0.9962258566109041,1.043621641577656,1.067330924115507,1.0910329805466117,1.0,1.0455305065172849,1.0682877623077451,1.0910329805466117,0.999
2009-06-02,1.0893584646340737,1.0820871919631103,1.0857213486011,1.087539536634576,1.0893584646340737,0.9993491047185533,1.04439457248508,1.0668920028389788,1.0893584646340737,1.0,1.0447281671281814,1.0670580573705093,1.0893584646340737,1.080394346443506,1.0848835203124776,1.0871228488737914,1.0893584646340737,0.9969436760706271,1.0431967520328829,1.0662945839500222,1.0893584646340737,1.0,1.0447281671281814,1.0670580573705093,1.0893584646340737,0.9974667361789674
2009-06-03,1.0925479253835022,1.0874600268964774,1.0900058980077796,1.0912773923267363,1.0925479253835022,1.0049044758204546,1.0488274346887902,1.0707182922609204,1.0925479253835022,1.0,1.046256387893422,1.069400283921673,1.0925479253835022,1.0882515711693765,1.0904192947030857,1.0914885741166915,1.0925479253835022,1.004194001405731,1.0485198136852583,1.0705766659487042,1.0925479253835022,1.0,1.046256387893422,1.069400283921673,1.0925479253835022,1.0003871532016342
2009-06-04,1.087643128406254,1.0833864713975658,1.0855179620076203,1.0865813359785292,1.087643128406254,1.0014927187276899,1.0446939306675487,1.0662053115795547,1.087643128406254,1.0,1.0439062688047132,1.0657983754453775,1.087643128406254,1.0835823115361514,1.0856327504053318,1.0866430241117337,1.087643128406254,0.999885399756158,1.0439171928772288,1.0658239521851234,1.087643128406254,1.0,1.0439062688047132,1.0657983754453775,1.087643128406254,0.9958960953989489
2009-06-05,1.094370531202029,1.1000026394418376,1.0972050844250412,1.0957924338387062,1.094370531202029,1.017024068291053,1.0560382991520623,1.0752949811356005,1.094370531202029,1.0,1.0471296841267177,1.0707387408195117,1.094370531202029,1.1004155307756773,1.0974399712066816,1.0959170628232993,1.094370531202029,1.015418405388776,1.055270719924036,1.0749203089213741,1.094370531202029,1.0,1.0471296841267177,1.0707387408195117,1.094370531202029,1.002056014954829
2009-06-08,1.1040309583761936,1.1039017793531372,1.1039760540747776,1.10400592820077,1.1040309583761936,1.0213547738062594,1.0629302613362086,1.0835453201194332,1.1040309583761936,1.0,1.0517584494787593,1.0778330149932778,1.1040309583761936,1.1089195384516966,1.1065194043657902,1.1052862977198878,1.1040309583761936,1.0232655555536874,1.0640012748679932,1.0841100379720858,1.1040309583761936,1.0,1.0517584494787593,1.0778330149932778,1.1040309583761936,1.0109015465923377
2009-06-09,1.0947442700820103,1.0935467795687859,1.0941534764961391,1.094450861765709,1.0947442700820103,1.0125951230398502,1.053901231284414,1.074385950660227,1.0947442700820103,1.0,1.0473087600151,1.071013201362113,1.0947442700820103,1.0955676238463772,1.095189091877229,1.0949750443191817,1.0947442700820103,1.0109449553274585,1.0531063308797388,1.0739963386175932,1.0947442700820103,1.0,1.0473087600151,1.071013201362113,1.0947442700820103,1.002398227470636
2009-06-10,1.1189969857979394,1.1087248633577176,1.1138550743495215,1.116424567172951,1.1189969857979394,1.026104540543864,1.0725826995690837,1.0958032578163999,1.1189969857979394,1.0,1.058929377631165,1.0888235333117546,1.1189969857979394,1.1160237270762094,1.1175341492768058,1.1182715949471573,1.1189969857979394,1.029821010000608,1.074592776997487,1.0968465489549641,1.1189969857979394,1.0,1.058929377631165,1.0888235333117546,1.1189969857979394,1.0246051299494912
2009-06-11,1.122171335068371,1.1041765905390735,1.1131562106212496,1.1176593336764726,1.122171335068371,1.0237964512839282,1.0728961833101747,1.0975172763854937,1.122171335068371,1.0,1.0604503577755575,1.0911546625301358,1.122171335068371,1.1170277968924507,1.119617710461057,1.1208991385248803,1.122171335068371,1.030747524524615,1.0765962771146669,1.099423751236124,1.122171335068371,1.0,1.0604503577755575,1.0911546625301358,1.122171335068371,1.0275117102066458
2009-06-12,1.1355600723916988,1.1058655294571251,1.1206770940574349,1.1281096542102198,1.1355600723916988,1.0217395132556157,1.078233597455934,1.1067982908451621,1.1355600723916988,1.0,1.0668655320025882,1.1009868750917338,1.1355600723916988,1.1225225491313997,1.129038962518063,1.1322990117649165,1.1355600723916988,1.035817856958534,1.0856555165278723,1.1106052134840751,1.1355600723916988,1.0,1.0668655320025882,1.1009868750917338,1.1355600723916988,1.0397710541719432
