variant,extra_execution_delay_nav_days,core_share,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,rolling3y_positive_alpha_share,rolling3y_median_ann_alpha,rolling3y_worst_ann_alpha,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_same_delay_ew,holdout_cagr_alpha_vs_same_delay_ew,full_mdd_improvement_vs_same_delay_ew,holdout_mdd_improvement_vs_same_delay_ew,positive_era_count,worst_era_cagr
delay0_core075_10bp,0,0.75,10.0,5.583889248015509,0.11507051480169483,0.18444379075872522,0.6995086705384378,0.9176167143211106,-0.3308810904726378,0.34776999385889834,1.4529522091358755,0.10913763561335776,0.1875351443088188,0.659784890110113,0.8746687937501595,-0.2580948064671561,0.42285870493580074,1.684067477341877,0.12129431202893803,0.18126907940633238,0.7412034945126237,0.9618726562842632,-0.3308810904726368,0.366579763913613,0.12233719025897849,0.7130015549734033,-0.2568599165758517,0.09440154867963857,0.5949909964748553,-0.2580948064671561,0.01871429516560741,0.19794256409905941,-0.3308810904726368,0.21838900471614942,1.149176048295274,-0.232733764861366,0.5333906563485239,0.0004868238588516071,-0.01414429824800253,0.03934136156422066,1.6310054949753878,0.000717830193553981,0.00314171926149176,0.024166441615815715,0.02416644161581527,4,0.01871429516560741
delay1_core075_10bp,1,0.75,10.0,5.378482979008451,0.1131431103472289,0.18459824980243292,0.6890270210202243,0.9022262609488263,-0.33314492548368135,0.3396212929942139,1.3539383564303433,0.10408196475512743,0.1874484821544868,0.6342741942166306,0.8383739791931869,-0.267282431922505,0.38940817773352426,1.7097068882811248,0.12253107713601863,0.18167553595894773,0.7462055482034871,0.9678259060372807,-0.333144925483682,0.3678011212631255,0.11271371216971082,0.6667530092993701,-0.267282431922505,0.09460158561779086,0.5950160530109908,-0.25287190157328376,0.016800427164376908,0.18629886852105265,-0.333144925483682,0.22287726227389992,1.1665301795716398,-0.23334193844484818,0.6115252293577982,0.0012574849598237584,-0.01629553839129978,0.03927692146049944,1.6286090371283761,0.001437943582373924,0.004635005279160831,0.022562388174187542,0.022562388174185877,4,0.016800427164376908
delay2_core075_10bp,2,0.75,10.0,5.353252412808886,0.11290677968912322,0.1848557622768198,0.6871837899393631,0.90002505156021,-0.33345092926463904,0.3386008848081998,1.3309473582971578,0.10286352016889344,0.1878967416721479,0.6272784188794405,0.8291256207412774,-0.26577339749812157,0.38703467366262817,1.7256095639372044,0.12329298418361945,0.18173547806713397,0.7498498313449068,0.9730587369584284,-0.3334509292646398,0.3697485097897846,0.11296756961684995,0.6667049983089615,-0.26577339749812157,0.09169360604565124,0.5795572630849056,-0.2549003675589765,0.01803875843989622,0.19377609540324559,-0.3334509292646398,0.22314167996587786,1.1675661960968404,-0.23228456969682731,0.5856036707771723,0.0013606387475944225,-0.01956642990149772,0.03925593911242485,1.6342989762235034,0.0018220834028341848,0.0049416563218072085,0.022032662080709975,0.022032662080710197,4,0.01803875843989622
delay3_core075_10bp,3,0.75,10.0,5.18016397329141,0.11118530549954642,0.1850229790956932,0.6779971610089705,0.887796390543386,-0.33296979547916694,0.3339200942822545,1.266358196391185,0.09938280200688254,0.18803073786177857,0.609521141688851,0.8054078341034555,-0.270618837394896,0.3672427350719117,1.7269140346536398,0.12335530764264235,0.18193810010785794,0.7495330739729674,0.9725288094847505,-0.3329697954791663,0.3704699624935218,0.11035395523301994,0.6534702939507661,-0.270618837394896,0.08722488837313391,0.5563565448691619,-0.2602305250072148,0.01814376914985938,0.19439503924587026,-0.3329697954791663,0.2231594857891659,1.166190279769395,-0.23203251640883427,0.5283993115318416,0.0005897981153672176,-0.022013946635346955,0.0393768831822205,1.6359639294062407,0.0007300404724566167,0.004968365815500864,0.022744442522740216,0.02274444252274166,4,0.01814376914985938
delay5_core075_10bp,5,0.75,10.0,5.050708831937921,0.10986118798085798,0.18562965561514094,0.6698996323165952,0.8734423722537491,-0.34587674873627483,0.3176310300772061,1.2790288408245925,0.10015942204120143,0.18832854522237738,0.6128561976804261,0.8077225678151759,-0.27388862408626924,0.3656939837327938,1.6549505313625805,0.11987707196093766,0.18286959467859332,0.7292170053427416,0.9404735668389788,-0.3458767487362757,0.34658898696986884,0.11242664287613335,0.6628277115293738,-0.27388862408626924,0.08654432934553569,0.5524430170681677,-0.2643447246789219,0.010544880959119984,0.1484950005259095,-0.3458767487362757,0.22398470627553935,1.1662709815469936,-0.23227884170024127,0.37973593570608494,-0.0021016394770257624,-0.022208516467407926,0.03933737527723176,1.6414516340939196,-0.0014623177174311053,0.0013640508958390196,0.009166303091621253,0.009166303091619477,4,0.010544880959119984
delay0_core025_20bp,0,0.25,20.0,5.028499106144873,0.10940575151773735,0.1920614135690687,0.6521752799157648,0.8232358077985674,-0.30300756880783986,0.3610660682443872,1.257397628924763,0.09855112600716631,0.18462101216346988,0.6140270837503559,0.781916953835799,-0.2693058263021665,0.3659450200553403,1.670552599550816,0.12063818704660201,0.1992878732627613,0.688781280272063,0.865167895553257,-0.3030075688078402,0.398135886576179,0.12093545998520883,0.6949576270190669,-0.2693058263021665,0.07335475007332337,0.5087349183304601,-0.24732881180787958,0.022130693755479713,0.2202416746097539,-0.3030075688078402,0.2135521351526466,0.9922178108517319,-0.26556229442629864,0.408999713384924,-0.004685444387437701,-0.04762347196098703,0.11812832469612242,4.165609983603311,-0.004519500608338056,0.0028521229106326373,0.05241892144273741,0.052418921442737854,4,0.022130693755479713
delay1_core025_20bp,1,0.25,20.0,5.000696476427237,0.10921856462285473,0.1928188433779029,0.6490774761931581,0.8191184552723484,-0.31017323000290875,0.352121182804301,1.1721881231593034,0.09386846102766877,0.18532179191392856,0.5880844614377699,0.7473939424185806,-0.30245236993475966,0.3103578293928284,1.7625123314363917,0.1250459889833262,0.20009359504404398,0.7070158067432086,0.8890561777676758,-0.3101732300029082,0.4031488758141822,0.11168924317885787,0.6496301039675705,-0.30245236993475966,0.07386852715171699,0.5089602770668695,-0.2420916694357087,0.017267253018536932,0.1897719567821891,-0.3101732300029082,0.22750602410413157,1.0418021661680699,-0.26639766957936883,0.4455275229357798,-0.002077152015840812,-0.05376354195651471,0.11805046742488642,4.1592733942641535,-0.0020621512487974947,0.007513711949329371,0.04589661875172579,0.045896618751728235,4,0.017267253018536932
delay2_core025_20bp,2,0.25,20.0,5.03363718201658,0.10958816749894984,0.19343518919531935,0.6494339494905406,0.819812793039281,-0.30849319828400934,0.3552369002251364,1.1638120878979845,0.09341069853391559,0.18643312658353725,0.5834633892976697,0.7419491141597349,-0.29666188333681587,0.3148726000227724,1.7884293722926339,0.12626480172033028,0.2002434072302271,0.7122003852696023,0.8952828315174447,-0.3084931982840088,0.4092952532589935,0.11886049132572607,0.6795349452846101,-0.29666188333681587,0.06487712469382223,0.45810824998501565,-0.24742081280486028,0.019967905290785515,0.20637600213664295,-0.3084931982840088,0.2271793185160973,1.0406968243824493,-0.2659557344547815,0.45397189561227413,-0.0019389171562376622,-0.06315411023135603,0.11801908833738026,4.166421429152499,-0.0010703929080131402,0.008282041720917732,0.04735116346819779,0.04735116346819912,4,0.019967905290785515
delay3_core025_20bp,3,0.25,20.0,4.685043388682291,0.10582714067488608,0.194037950743071,0.6299197628737114,0.795051538589831,-0.311505351123886,0.3397281629129976,1.0356427116531277,0.08579861748380524,0.18687280231209455,0.5440738039052349,0.6920353537452839,-0.311505351123886,0.2754322427343569,1.7927510835462424,0.12646706588322543,0.200993987440707,0.7112130239505539,0.8934305049276584,-0.30327736039109066,0.41700134068741596,0.11606252912517556,0.6654246782192321,-0.311505351123886,0.051966670913542456,0.38517212036587045,-0.25165343282553454,0.020091703004032624,0.20705070445862594,-0.30327736039109066,0.22746194586548407,1.0380841023673981,-0.2658084142389249,0.4202524383247275,-0.003946610973918122,-0.07050129710222028,0.11813098355181804,4.173868846938514,-0.004201836837868678,0.008451772658226053,0.04457513750244457,0.052803128235240915,4,0.020091703004032624
delay5_core025_20bp,5,0.25,20.0,4.19553584688952,0.1001120024223936,0.19540353657402224,0.599766686483215,0.7510829920680898,-0.3421788431023003,0.2925721576318013,1.0168191280206704,0.08468701938991985,0.18757875827812642,0.5373101162302453,0.6792649690448875,-0.31634046193940135,0.2677084647051651,1.5761040118597545,0.11596913700074762,0.20297393366755107,0.6588118710953421,0.8201148198407039,-0.34217884310230007,0.3389138146278574,0.1165533395724474,0.6660439708407743,-0.31634046193940135,0.04913424145458456,0.368690611361662,-0.25448682592966965,-0.0022422844194512903,0.0695087378480001,-0.34217884310230007,0.22945365381066418,1.03933409765605,-0.26600716905461774,0.3010907003444317,-0.0119262732350234,-0.07120058294748677,0.11813266094382635,4.181653487195121,-0.010781973780114695,-0.0021676669002550497,0.013252521691463293,0.013252521691463626,3,-0.0022422844194512903
