0,monthly_current_top3_none_10bp,monthly_current_top3_ma200_10bp,monthly_current_top3_ma200_r6_10bp,monthly_current_top3_ma200_r12_10bp,monthly_medium_3_6_12_top3_none_10bp,monthly_medium_3_6_12_top3_ma200_10bp,monthly_medium_3_6_12_top3_ma200_r6_10bp,monthly_medium_3_6_12_top3_ma200_r12_10bp,monthly_classic_6_12minus1_top3_none_10bp,monthly_classic_6_12minus1_top3_ma200_10bp,monthly_classic_6_12minus1_top3_ma200_r6_10bp,monthly_classic_6_12minus1_top3_ma200_r12_10bp,monthly_long_6_12_top3_none_10bp,monthly_long_6_12_top3_ma200_10bp,monthly_long_6_12_top3_ma200_r6_10bp,monthly_long_6_12_top3_ma200_r12_10bp
2009-05-27,1.034341851775379,0.9871192958801127,0.9871192958801127,0.999,1.0414711200398015,0.9871192958801127,0.9871192958801127,0.999,1.056223912049598,0.999,0.999,0.999,1.0414711200398015,0.9871192958801127,0.9871192958801127,0.999
2009-05-28,1.0475911755102176,0.9956049965109959,0.9956049965109959,0.999,1.0528908332491933,0.9956049965109959,0.9956049965109959,0.999,1.0577247588819854,0.999,0.999,0.999,1.0528908332491933,0.9956049965109959,0.9956049965109959,0.999
2009-05-29,1.0538118119134028,0.9957400224058419,0.9957400224058419,0.999,1.0648276986653598,0.9957400224058419,0.9957400224058419,0.999,1.069174007069733,0.999,0.999,0.999,1.0648276986653598,0.9957400224058419,0.9957400224058419,0.999
2009-06-01,1.0729741105708268,0.9951237456998095,0.9951237456998095,0.999,1.0777457638526717,0.9957875723814135,0.9957875723814135,0.999,1.0834881356862465,0.997668,0.997668,0.999,1.0784556489851151,0.9957875723814135,0.9957875723814135,0.999
2009-06-02,1.0611469340120574,0.9841546979639288,0.9841546979639288,0.999,1.0769154152147065,0.99502036838752,0.99502036838752,0.999,1.0812458244799392,0.997683745103085,0.997683745103085,0.999,1.0792327182070718,0.99650507604031,0.99650507604031,0.999
2009-06-03,1.075588800046379,0.9975487246057491,0.9975487246057491,0.999,1.0853205900941192,1.0027863638284966,1.0027863638284966,0.999,1.0866388972867735,1.0032665207249027,1.0032665207249027,0.999,1.0871228010673173,1.003790351484586,1.003790351484586,0.999
2009-06-04,1.067789479151253,0.9903152887319391,0.9903152887319391,0.999,1.0789008378428218,0.9968548076823076,0.9968548076823076,0.999,1.0825748545585872,0.9998609192786616,0.9998609192786616,0.999,1.0824494451100186,0.999475227549752,0.999475227549752,0.999
2009-06-05,1.0844357583252573,1.0057537858218524,1.0057537858218524,0.999,1.0973826876171286,1.0139311877870971,1.0139311877870971,0.999,1.0991632350657559,1.01540166167836,1.01540166167836,0.999,1.0993278827691897,1.0150598632999877,1.0150598632999877,0.999
2009-06-08,1.0833373148966627,1.0047350407017852,1.0047350407017852,0.999,1.1009309504473355,1.01720961962916,1.01720961962916,0.999,1.1030019546680265,1.019704290060969,1.019704290060969,0.999,1.1078631919434412,1.0229409057982592,1.0229409057982592,0.999
2009-06-09,1.0689841187646154,0.9914232504572953,0.9914232504572953,0.999,1.0835489918429522,1.0011494884345649,1.0011494884345649,0.999,1.0927775849301224,1.0110613584499284,1.0110613584499284,0.999,1.0945429522684853,1.0106417174710016,1.0106417174710016,0.999
2009-06-10,1.1107112911824766,1.0301228795581623,1.0301228795581623,0.999,1.1128964886342418,1.0282652271972963,1.0282652271972963,0.999,1.1078213958511942,1.0244886636286912,1.0244886636286912,0.999,1.1149946533845,1.029525711286187,1.029525711286187,0.999
2009-06-11,1.1224392736928217,1.0409999303371298,1.0409999303371298,0.999,1.1200405420035362,1.0348660043009263,1.0348660043009263,0.999,1.1032466902745062,1.0222143416110507,1.0222143416110507,0.999,1.1160580052490316,1.030507552841531,1.030507552841531,0.999
2009-06-12,1.1294949067900966,1.047543637186038,1.047543637186038,0.999,1.1206337259474697,1.035414079013272,1.035414079013272,0.999,1.1051260591460195,1.020189658120001,1.020189658120001,0.999,1.1215886109226763,1.0356142147638272,1.0356142147638272,0.999
2009-06-15,1.131587704616974,1.049484590646105,1.049484590646105,0.999,1.1075429653649709,1.0233188176461814,1.0233188176461814,0.999,1.1023848454913014,1.012890614141326,1.012890614141326,0.999,1.1167479069817017,1.0311445707589613,1.0311445707589613,0.999
2009-06-16,1.0715700689292331,0.9938215752525114,0.9938215752525114,0.999,1.0569691963989487,0.9765909785639598,0.9765909785639598,0.999,1.0671309042064492,0.9833608367583246,0.9833608367583246,0.999,1.070772612867849,0.9886934726927238,0.9886934726927238,0.999
2009-06-17,1.0859304434943893,1.0071400230940235,1.0071400230940235,0.999,1.075704420537516,0.9939014649408896,0.9939014649408896,0.999,1.079395980178707,0.9933835218108813,0.9933835218108813,0.999,1.0885256392537752,1.0050856563341197,1.0050856563341197,0.999
2009-06-18,1.0612681044603278,0.9842670768080807,0.9842670768080807,0.999,1.044960747856958,0.9654957237990979,0.9654957237990979,0.999,1.0603604387407786,0.9764150216436205,0.9764150216436205,0.999,1.0660336322883677,0.98431775453385,0.98431775453385,0.999
2009-06-19,1.068482421851997,0.990957954504697,0.990957954504697,0.999,1.0497212827711102,0.9698942393529467,0.9698942393529467,0.999,1.071572914606501,0.9818845521141357,0.9818845521141357,0.999,1.070127391247232,0.9880977099723499,0.9880977099723499,0.999
2009-06-22,1.0674916066343103,0.990039028557643,0.990039028557643,0.999,1.0500700633617297,0.9702164965951233,0.9702164965951233,0.999,1.0742361922363934,0.9815008682301698,0.9815008682301698,0.999,1.0737026934939502,0.9913989505455154,0.9913989505455154,0.999
2009-06-23,1.0279952824393264,0.9534083869726596,0.9534083869726596,0.999,1.0134413792478176,0.9363732752560467,0.9363732752560467,0.999,1.0485967757472954,0.9597652376568654,0.9597652376568654,0.999,1.0414408543900266,0.9616101145631659,0.9616101145631659,0.999
2009-06-24,1.031882501346839,0.9570135660738973,0.9570135660738973,0.999,1.026153030104562,0.9481182566534666,0.9481182566534666,0.999,1.0535261654244281,0.9675810113350974,0.9675810113350974,0.999,1.049735512549557,0.9692689529402335,0.9692689529402335,0.999
2009-06-25,1.063647765724923,0.9864740801344342,0.9864740801344342,0.999,1.0490399353039266,0.9692647055954958,0.9692647055954958,0.999,1.067429209079454,0.9795384303363521,0.9795384303363521,0.999,1.0730671197323358,0.9908120961359318,0.9908120961359318,0.999
2009-06-26,1.08135894638199,1.0029002140575072,1.0029002140575072,0.999,1.0618779588603113,0.9811264495616129,0.9811264495616129,0.999,1.0786939730758427,0.9877835214500346,0.9877835214500346,0.999,1.0864887521882935,1.0032049050690492,1.0032049050690492,0.999
2009-06-29,1.0553559590790793,0.9787838911478233,0.9787838911478233,0.999,1.037262250032801,0.9583826654912679,0.9583826654912679,0.999,1.060967067413734,0.9733760753939954,0.9733760753939954,0.999,1.0675138939189437,0.98568454800096,0.98568454800096,0.999
2009-06-30,1.0844816305768235,1.0057963297810704,1.0057963297810704,0.999,1.0647755752165415,0.9838037139534938,0.9838037139534938,0.999,1.0839416469900356,0.9910906030059246,0.9910906030059246,0.999,1.093289288539067,1.0094841522406888,1.0094841522406888,0.999
2009-07-01,1.0782160294959906,0.9999853336394189,0.9999853336394189,0.999,1.0551182159613832,0.9748807576767443,0.9748807576767443,0.999,1.07524956277139,0.9836502295002592,0.9836502295002592,0.999,1.0853641408856938,1.002166499864401,1.002166499864401,0.999
2009-07-02,1.0639769043660765,0.9867793378980771,0.9867793378980771,0.999,1.0522478046087789,0.9722286294583711,0.9722286294583711,0.999,1.0635075469940145,0.9748157139126438,0.9748157139126438,0.999,1.074532174197401,0.9921648481295319,0.9921648481295319,0.999
2009-07-03,1.0640576672031576,0.9868542409326964,0.9868542409326964,0.999,1.0497709347256943,0.9699401154778896,0.9699401154778896,0.999,1.054300121412344,0.967168986471026,0.967168986471026,0.999,1.0695724279430006,0.9875852868958874,0.9875852868958874,0.999
2009-07-06,1.0478024017570848,0.971778387304285,0.971778387304285,0.999,1.0309444921881739,0.9525453474910507,0.9525453474910507,0.999,1.0416233379809992,0.9527771762685006,0.9527771762685006,0.999,1.049226644429589,0.9687990916619122,0.9687990916619122,0.999
2009-07-07,1.0339127409345268,0.958896500250281,0.958896500250281,0.999,1.0170097774980216,0.9396703113011323,0.9396703113011323,0.999,1.042187405249301,0.9475328262442323,0.9475328262442323,0.999,1.0395272083842881,0.959843157421957,0.959843157421957,0.999
2009-07-08,1.0029500512075893,0.9301803294923312,0.9301803294923312,0.999,0.983946168715976,0.909121055783258,0.909121055783258,0.999,1.027040722811156,0.9329326633182884,0.9329326633182884,0.999,1.0103172068826236,0.9328722230938069,0.9328722230938069,0.999
2009-07-09,0.9845393614583704,0.9131054398340774,0.9131054398340774,0.999,0.9702872944329743,0.8965008834569834,0.8965008834569834,0.999,1.017260653489791,0.9237131659103965,0.9237131659103965,0.999,0.9936201933812455,0.9174551045908778,0.9174551045908778,0.999
2009-07-10,0.9777767967033445,0.9068335375549268,0.9068335375549268,0.999,0.9708503782565829,0.8970211470409979,0.8970211470409979,0.999,1.0155215092797654,0.9230113134946303,0.9230113134946303,0.999,0.9961107775921945,0.9197547752426716,0.9197547752426716,0.999
