variant,rebalance,model,top_k,absolute_filter,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure,annualized_turnover,signal_count,positive_era_count,worst_era_cagr,median_era_sharpe,holdout_cagr_alpha_vs_equal_weight,holdout_mdd_improvement_vs_equal_weight
monthly_classic_6_12minus1_top3_ma200_0bp,monthly,classic_6_12minus1,3,ma200,0.0,5.346315190602637,0.11270466676355628,0.20784041420885394,0.6326641980435295,0.7946899357404824,-0.28465740988317456,0.3959309079985344,1.0319318164102427,0.08528754714905129,0.1991265922210529,0.5208199567988644,0.6581417997559275,-0.28465740988317456,0.2996147094293239,2.1232914113301713,0.14117302646378294,0.21626660328422045,0.7377023509195987,0.9249549744277954,-0.28246833558803097,0.49978354625092664,0.09510402147006136,0.5395320080270599,-0.28465740988317456,0.07431088128045849,0.4998130777727289,-0.2490979710030058,0.047986009547825725,0.3685858697215978,-0.2646480116250193,0.22860884209075305,0.9748610566951473,-0.2824683355880311,0.10823122840087968,6.709707822808671,209,4,0.047986009547825725,0.5196725428998944,0.021642788681884184,0.0720501954323941
bimonthly_classic_6_12minus1_top3_none_0bp,bimonthly,classic_6_12minus1,3,none,0.0,6.8982695385632775,0.12752582510197263,0.22370013493305416,0.6635159461329988,0.8726650773354888,-0.37522247035934286,0.33986723924034656,1.130840608786071,0.09220203438341779,0.21888651144833998,0.521825141113029,0.7097649650358835,-0.35601855465359433,0.25898098056470753,2.706644929703539,0.16405821477500826,0.22839639412298587,0.7997898714312487,1.0212900701471332,-0.3752224703593431,0.4372291846431611,0.10702655523565219,0.5588623389327599,-0.35601855465359433,0.07583565446613405,0.4755956376984589,-0.24353217480624567,0.0484642912645592,0.34565762984743814,-0.3752224703593431,0.27445692839296587,1.1156562895166584,-0.28246833558803097,0.0,4.313298627543777,105,4,0.0484642912645592,0.5172289883156094,0.04452797699310951,-0.02070393933891801
bimonthly_classic_6_12minus1_top3_ma200_0bp,bimonthly,classic_6_12minus1,3,ma200,0.0,5.581877047664542,0.11564953019580515,0.21081849132949582,0.6391979735206177,0.8054475992891011,-0.3744606056334552,0.3088429822949385,1.0310149823433554,0.08610965326730291,0.20168977258990825,0.5200192063241832,0.66059352246687,-0.30900741546452337,0.2786653295612869,2.240683650728405,0.14606575024143975,0.2195599735641944,0.749932853440792,0.9414724446122799,-0.37446060563345507,0.3900697377614612,0.09873554455525091,0.5485644529403074,-0.30900741546452337,0.07217824695628505,0.4858742539641903,-0.25418235557449775,0.01901152914579418,0.1975543891802958,-0.37446060563345507,0.26874845808058745,1.1173032253385542,-0.28246833558803097,0.09985802176999527,4.869853289162328,105,4,0.01901152914579418,0.5172193534522489,0.026535512459541,-0.019942074613029992
monthly_medium_3_6_12_top3_ma200_0bp,monthly,medium_3_6_12,3,ma200,0.0,3.772319112749627,0.09452484344585854,0.21407221160214032,0.5413190718352053,0.6800955824960907,-0.349812474006975,0.27021575978440887,1.064430564225841,0.08727732114797271,0.20794643506309524,0.5164080742422141,0.6603386918876477,-0.3007640571007669,0.2901853432530724,1.311687879189705,0.10204278791350996,0.22008181122486165,0.565507794595924,0.7008672272728277,-0.3498124740069759,0.29170711594314114,0.09634037073092228,0.5313112018958067,-0.3007640571007669,0.0771782195688111,0.5006832925320317,-0.2559442579399207,0.01563400762980338,0.17903971325555176,-0.3498124740069759,0.1827492285803518,0.8061788103217356,-0.28246833558803097,0.07799245994344958,9.480678605089539,209,4,0.01563400762980338,0.5159972472139192,-0.017487449868388794,0.004706057013449172
monthly_classic_6_12minus1_top3_none_0bp,monthly,classic_6_12minus1,3,none,0.0,5.768285588432693,0.1168519911667083,0.22425059550167,0.6192243187585039,0.8135005626892708,-0.38635308187110795,0.3024487098712766,1.097490653010344,0.0892732344953826,0.21802579744124478,0.510977495026097,0.698721620528405,-0.3838684109749785,0.23256207581300994,2.2268489867731955,0.14549736586284845,0.23035063271862816,0.7231434903588687,0.9176012649729705,-0.3863530818711084,0.376591705075069,0.10097290664140823,0.5374867741153654,-0.3838684109749785,0.07615403159675815,0.47850821963262463,-0.2385704958850896,0.04744212241829193,0.34007469534454116,-0.3863530818711084,0.23785975486286404,0.9886231714757021,-0.2824683355880311,0.0,5.799245994344957,209,4,0.04744212241829193,0.507997496873995,0.025967128080949697,-0.03183455085068332
quarterly_current_top3_none_20bp,quarterly,current,3,none,20.0,2.9551961275771,0.08354840638250205,0.2176797318266254,0.48817339876356486,0.6369577194744169,-0.38850824754142754,0.21504924776041745,1.0012083522501771,0.08508738981608421,0.21179034363132734,0.5007645958635429,0.6846364035836653,-0.36989508509812874,0.23003114462445898,0.9764039676977314,0.0821999109528535,0.22336031304848566,0.47668195288150295,0.5983233572667146,-0.38850824754142677,0.21157829073908785,0.0621257832482518,0.38967137171448085,-0.36989508509812874,0.11208753331457921,0.6398122046238662,-0.2508230583157314,0.03478345755563583,0.27987109074602823,-0.38850824754142677,0.1250784608140929,0.613614499875591,-0.29386835513939735,0.0,5.694576593720266,70,4,0.03478345755563583,0.5016429357950359,-0.037330326829045246,-0.03398971652100169
quarterly_classic_6_12minus1_top3_none_0bp,quarterly,classic_6_12minus1,3,none,0.0,4.5487424447819995,0.10516772616999281,0.2230683388581533,0.5726996728330296,0.7547815742390404,-0.3957470857134755,0.26574478995945205,1.0176232994712882,0.0861312782164032,0.21723362003153968,0.4981289683654848,0.6803889930760604,-0.34732969065190344,0.2479813287909344,1.750137969875757,0.12446048480924543,0.22869456995654316,0.6432462513049821,0.8221048900668008,-0.39574708571347617,0.31449501285615467,0.09025815555230099,0.49617049611478586,-0.34732969065190344,0.08191413111660673,0.5042761643041165,-0.22723482444392695,0.039829924610143896,0.30320051009519416,-0.39574708571347617,0.20334191997370965,0.8780762699017965,-0.28246833558803097,0.0,3.8563273073263558,70,4,0.039829924610143896,0.5002233302094512,0.004930247027346679,-0.04122855469305109
monthly_classic_6_12minus1_top3_ma200_r6_10bp,monthly,classic_6_12minus1,3,ma200_r6,10.0,4.001077999790216,0.0974905504268948,0.20218821139343018,0.5746171735913536,0.7108141324683068,-0.3271393272181611,0.29800926490834523,0.8686281305155299,0.07484147486798065,0.19155894385357097,0.4819284008190175,0.6024877104613309,-0.3271393272181611,0.228775535807319,1.6763366761531553,0.12091935289914213,0.21236846715295174,0.6605025693302604,0.8140020516313359,-0.3110556024457386,0.3887387076406561,0.07358877439149314,0.44870880349072556,-0.3271393272181611,0.07668673878922183,0.5418347077185945,-0.2177381386620416,0.006940264331783297,0.12544339140129201,-0.3110556024457386,0.22989289890532172,0.9855784866957885,-0.28246833558803097,0.15229343386742067,7.501413760603206,209,4,0.006940264331783297,0.4952717556046601,0.001389115117243378,0.04346292857468648
bimonthly_classic_6_12minus1_top3_none_10bp,bimonthly,classic_6_12minus1,3,none,10.0,6.347076288671583,0.1227985696731766,0.22370958131849528,0.6442071332093022,0.8471772756101678,-0.37935252919475937,0.32370568329631955,1.04658404592739,0.08707701057765838,0.2188974809167501,0.49983461319964795,0.6795974672304217,-0.3624451171158518,0.24024881689832536,2.589921607808844,0.15974744212218583,0.22840379143348757,0.7830471628790113,1.0000182984646142,-0.3793525291947597,0.42110551486575554,0.10226773525450539,0.5401013428671627,-0.3624451171158518,0.07027577437696819,0.4490008546033982,-0.24700467005647608,0.04480646783635711,0.32748546710032883,-0.3793525291947597,0.2694877870738439,1.099489766014998,-0.2824683355880312,0.0,4.313298627543777,105,4,0.04480646783635711,0.49455109873528047,0.04021720434028708,-0.024833998174334626
monthly_current_top3_none_0bp,monthly,current,3,none,0.0,4.658340490646291,0.10535034276317123,0.21882364958484607,0.5803684560592288,0.7536793549381731,-0.3819856268489924,0.2757966147370739,1.0159496436495403,0.08429867322433626,0.21542220954834318,0.49284043962846186,0.6573018442491254,-0.3504949734386339,0.24051321591662034,1.8067866221116566,0.12712205217912076,0.2221966374741506,0.6661899218194653,0.8439297122710273,-0.38198562684899307,0.33279276298365745,0.09351359337514387,0.5163701643358151,-0.3504949734386339,0.07400947852346174,0.4638221250722218,-0.29032625800178236,0.042337441176714785,0.3210278520987536,-0.38198562684899307,0.20615248438269074,0.901914540725171,-0.292527222453167,0.0,12.449575871819038,209,4,0.042337441176714785,0.4900961447040184,0.007591814397222008,-0.02746709582856799
bimonthly_classic_6_12minus1_top3_ma200_10bp,bimonthly,classic_6_12minus1,3,ma200,10.0,5.065123401564157,0.11036418292292383,0.21085341381417816,0.615996188061678,0.7760976219822023,-0.3794118730285919,0.29088225954016717,0.9415339226537247,0.0804194381169887,0.20172856025485292,0.4933278506999058,0.6266314358833255,-0.316394891997959,0.2541742618193326,2.1238822720512838,0.14119805684524467,0.2195908659997396,0.7299039363348166,0.9160771004655514,-0.37941187302859203,0.3721498110171269,0.09352123099574694,0.5262286389855877,-0.316394891997959,0.06592533305593107,0.4527759001489717,-0.2571230416371858,0.014426780818478147,0.17227404889232448,-0.37941187302859203,0.2636193497788064,1.100146452582688,-0.2824683355880312,0.09985802176999527,4.869853289162328,105,4,0.014426780818478147,0.4895022695672797,0.021667819063345917,-0.024893342008166952
bimonthly_current_top3_none_0bp,bimonthly,current,3,none,0.0,5.346037556031033,0.11328773327849295,0.21685399228606722,0.6171101006299003,0.812846450643385,-0.34951767187684857,0.324125909485943,0.9488058862969995,0.08089042794344214,0.21053231162131344,0.48331203956916113,0.6619661711612053,-0.3026844256702792,0.2672434426195349,2.256372325562604,0.14670771517185566,0.22298394125126522,0.7441035684193842,0.9471676803730638,-0.34951767187684835,0.4197433405414412,0.07886892444016835,0.4645122796718382,-0.3026844256702792,0.0836287031031766,0.5075478471513116,-0.271541340399298,0.0472388768713341,0.3424097263099613,-0.34951767187684835,0.24050769542793948,1.0251351484139801,-0.26778434387910865,0.0,6.976810222432561,105,4,0.0472388768713341,0.48603006341157495,0.027177477389956906,0.00500085914357673
monthly_long_6_12_top3_ma200_r12_10bp,monthly,long_6_12,3,ma200_r12,10.0,4.361752395679493,0.1019163375249561,0.20976180566709657,0.5810818029031071,0.6990738522708984,-0.3723680011866978,0.2736978934821451,0.8876755857673719,0.07610058116440221,0.1946994784210214,0.4834336411908209,0.5832660111543222,-0.3723680011866978,0.20436928232790585,1.840399291120689,0.12867893679306408,0.22392773114346476,0.6694846555573513,0.8096320542043526,-0.3454885997043563,0.3724549432403212,0.0814949011395385,0.4900556430493162,-0.3723680011866978,0.07018675951951048,0.47764728440006987,-0.26335076198359664,0.0038571469565014116,0.10887699536891148,-0.3454885997043563,0.2491167405004695,1.0073332450762116,-0.28246833558803097,0.14836632108074144,8.293119698397737,209,4,0.0038571469565014116,0.483851463724693,0.009148699011165329,0.009029931316068773
quarterly_classic_6_12minus1_top3_none_10bp,quarterly,classic_6_12minus1,3,none,10.0,4.2034729057239275,0.10103211913261645,0.2230483429738701,0.5554618147988646,0.7318685891540254,-0.39854473353630193,0.2535025823479206,0.9495398041612997,0.08175154061758638,0.2172342929911088,0.4790892006481871,0.6542893835408985,-0.3525512481267352,0.2318855515388739,1.66907754056475,0.1205663977999738,0.22865492372144158,0.6277029902870487,0.8018832123579078,-0.39854473353630115,0.302516600157237,0.08614368743852241,0.47954935638427315,-0.3525512481267352,0.07721418222278187,0.4819037048905752,-0.2287773846669019,0.03723931674722558,0.2901392997607159,-0.39854473353630115,0.19815529324496373,0.8606142911536615,-0.2824683355880311,0.0,3.8563273073263558,70,4,0.03723931674722558,0.4807265306374242,0.0010361600180750496,-0.04402620251587608
monthly_classic_6_12minus1_top3_ma200_10bp,monthly,classic_6_12minus1,3,ma200,10.0,4.669247382612981,0.10547336708088828,0.207798678078858,0.6005018044740235,0.7545234315020867,-0.29807394629436157,0.3538496684870557,0.902943465543522,0.07710175501975747,0.1990860043685583,0.4819393376424988,0.6094316697108495,-0.29807394629436157,0.25866653553013313,1.9791990593865147,0.13494017190729846,0.21622261967743298,0.7117324479049408,0.8921802785063587,-0.2824683355880312,0.4777178710186593,0.08800033719882339,0.5085813343487118,-0.29807394629436157,0.06484045133073502,0.44932617032724165,-0.25162270868368053,0.04276917517165146,0.3385896203956596,-0.27145294826093624,0.22136642177406718,0.9504124008865239,-0.28246833558803086,0.10823122840087968,6.709707822808671,209,4,0.04276917517165146,0.4789537523379767,0.015409934125399705,0.07205019543239388
monthly_classic_6_12minus1_top3_none_10bp,monthly,classic_6_12minus1,3,none,10.0,5.139255769785673,0.11057361869444393,0.2242264687852591,0.5934276044983727,0.7793644286734299,-0.392041124119464,0.2820459688834827,0.9865734624917177,0.08246283652956476,0.21803002494241522,0.4815122917981104,0.6580328890963737,-0.392041124119464,0.21034231221221686,2.090374398782778,0.13977192043024056,0.23029878775749135,0.7008552132503254,0.8891092085718775,-0.3912145340070232,0.3572769114649798,0.09476510974111219,0.5127455103405939,-0.392041124119464,0.06861926943264152,0.4422290730205084,-0.24113504052647072,0.042749078686765696,0.31681519132955516,-0.3912145340070232,0.2311021925576584,0.9665619339965059,-0.2824683355880312,0.0,5.799245994344957,209,4,0.042749078686765696,0.47748729168055115,0.020241682648341808,-0.03669600298659814
monthly_long_6_12_top3_ma200_10bp,monthly,long_6_12,3,ma200,10.0,4.693160220792741,0.10574231342869944,0.21627870471876517,0.5864870419945638,0.7351235124950418,-0.3417411212569239,0.3094222698157576,0.9265352460407787,0.07863487425022786,0.20680258854718134,0.47858959309407567,0.6143129005347442,-0.3232583552734347,0.24325705110920626,1.9551290237190218,0.13387311898627274,0.225427057585048,0.6874936899642616,0.8470470616988358,-0.3417411212569246,0.3917383968715475,0.08837729546008144,0.5003550618887902,-0.3232583552734347,0.06770983363795846,0.4526256306460603,-0.2633507619835974,0.0127542033137924,0.16223349179044866,-0.3417411212569246,0.2503121153991821,1.009705489073428,-0.2824683355880314,0.08113415017279298,8.332704995287465,209,4,0.0127542033137924,0.47649034626742526,0.014342881204373992,0.012777409763500502
bimonthly_classic_6_12minus1_top3_none_20bp,bimonthly,classic_6_12minus1,3,none,20.0,5.833865117261513,0.11808653660696011,0.22373756189393268,0.6248481848183066,0.8218533532503374,-0.3834590907654779,0.3079508074022462,0.9655759810361058,0.08197070066907974,0.21893108199037004,0.4777968926729861,0.6496242173012837,-0.3688146193612972,0.2222544779028399,2.476774840145935,0.15544881460230764,0.22842579366242866,0.766256543310018,0.9787437771202538,-0.38345909076547746,0.4053856548086891,0.09752463782117804,0.5213104940366315,-0.3688146193612972,0.06473859640843305,0.42232731881180186,-0.2504654428521347,0.04115852795745312,0.3092748575511332,-0.38345909076547746,0.26453323931024664,1.083268044457609,-0.2824683355880312,0.0,4.313298627543777,105,4,0.04115852795745312,0.4718189064242167,0.03591857682040889,-0.028940559745052385
monthly_medium_3_6_12_top3_ma200_10bp,monthly,medium_3_6_12,3,ma200,10.0,3.068171120744301,0.08447323741585966,0.2140752793734534,0.49702465691741654,0.6247416097463655,-0.35884927801363686,0.23540032707729047,0.8987580905484966,0.07682801278018925,0.20794784291193033,0.4688479134723356,0.5996111124259615,-0.3169039187394723,0.24243314215167466,1.1425431396419357,0.09237580440400794,0.22008633462732216,0.5242933327671558,0.6501740150637073,-0.358849278013637,0.257422294160217,0.08611608522626746,0.4886223594749068,-0.3169039187394723,0.066416822404602,0.44576814718801766,-0.26190004335729167,0.0080231623221938,0.13397313977112013,-0.358849278013637,0.1710420929804679,0.7659660198821843,-0.28246833558803097,0.07799245994344958,9.480678605089539,209,4,0.0080231623221938,0.4671952533314622,-0.027154433377890808,-0.004330746993211898
bimonthly_classic_6_12minus1_top3_ma200_20bp,bimonthly,classic_6_12minus1,3,ma200,20.0,4.5884140161364835,0.10509782385207656,0.21091443070462684,0.5927287452191413,0.7467943044617174,-0.38432987861817025,0.2734573336581273,0.8558889147939315,0.07475186187198468,0.20180044774022174,0.4665702167614703,0.5926800263106241,-0.32371506366445624,0.23091870061835618,2.0111791560309977,0.1363461584272634,0.219641448706983,0.7098170149313191,0.8907691441299935,-0.38432987861817147,0.35476335828347644,0.08832488869702004,0.5038544676220846,-0.32371506366445624,0.059701231922385745,0.4195510359149093,-0.2600559878741139,0.009858047321316121,0.14696343016831057,-0.38432987861817147,0.25850585350610333,1.0829273360591338,-0.2824683355880312,0.09985802176999527,4.869853289162328,105,4,0.009858047321316121,0.46170275176849696,0.016815920645364635,-0.029811347597746396
monthly_classic_6_12minus1_top3_ma200_r6_20bp,monthly,classic_6_12minus1,3,ma200_r6,20.0,3.407291231177755,0.0895030202879945,0.20221582020522177,0.5374426426848593,0.6650876225646917,-0.34356700049927047,0.2605111089188688,0.7416079508787266,0.06614223833504296,0.19160430052087704,0.4384263527491254,0.548267447381863,-0.34356700049927047,0.19251627263073948,1.5305874545152722,0.11366475559770772,0.21237923861963395,0.6290073402922801,0.7754817694886491,-0.32111291662036745,0.3539712970565016,0.06554815937172354,0.41241009109456656,-0.34356700049927047,0.06716859116671814,0.48660528843508377,-0.22090605142081265,0.000733237877874604,0.08642215674842825,-0.32111291662036745,0.22158334005580294,0.9572702322324279,-0.28246833558803086,0.15229343386742067,7.501413760603206,209,4,0.000733237877874604,0.44950768976482514,-0.005865482184191029,0.033405614400057626
bimonthly_current_top3_none_10bp,bimonthly,current,3,none,10.0,4.644560641856234,0.10573962121505387,0.21690065477027504,0.5848114147629652,0.7699320780512459,-0.356406037483745,0.2966830246804572,0.8235454650839273,0.07255127002860351,0.21059444949837208,0.4456219828216352,0.609678554932219,-0.31875983548325415,0.2276048044717194,2.09537697300926,0.13998570163577084,0.2230149399670956,0.7168922936885715,0.9124122621487568,-0.35640603748374444,0.3927702870133213,0.07047467823528919,0.4278519315767118,-0.31875983548325415,0.07531004758450166,0.4685354288027407,-0.27576206820990623,0.04165037811934624,0.3139472905850607,-0.35640603748374444,0.2326525843613323,0.9983871213945985,-0.2716710950411818,0.0,6.976810222432561,105,4,0.04165037811934624,0.4481936801897263,0.02045546385387209,-0.0018875064633193661
