variant,core_share,tilt_share,overlay,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_ew,holdout_cagr_alpha_vs_ew,full_mdd_improvement_vs_ew,holdout_mdd_improvement_vs_ew,positive_era_count,worst_era_cagr,median_era_sharpe
core025_vol15_0bp,0.25,0.75,vol15,0.0,4.497868973008928,0.10351400169923308,0.17116934014932791,0.6775969703399243,0.8244997159716762,-0.28288139347200103,0.36592721927990174,1.105824337647181,0.08977196470461246,0.15583698777349803,0.643214516656957,0.7921534984601465,-0.24744279847676487,0.3627988579875447,1.6107918285110454,0.11770124346193178,0.18535965607637916,0.71148255216041,0.8635129909756231,-0.28288139347200036,0.41607983479331195,0.10550320225592569,0.7082205124310019,-0.24744279847676487,0.0720520959148363,0.5601854211829376,-0.2199113933593262,0.017726739664284175,0.19613415274794785,-0.28288139347200036,0.21213075632571043,1.0401868424590173,-0.2655121316333723,0.23376404741221515,4.1157648358810475,-0.01126620349300489,-0.0008179866641242484,0.0717869669038691,0.0717869669038681,4,0.017726739664284175,0.6342029668069697
core050_none_20bp,0.5,0.5,none,20.0,5.2536027975937785,0.11175869910506164,0.18580871556114337,0.6793709513386486,0.8763531162098556,-0.3152336434368911,0.3545265596863091,1.3440437970062589,0.10333803664927377,0.18355267727042013,0.6408092188861328,0.8360312947674655,-0.26226832095142505,0.3940164647960403,1.667869433830833,0.12050757464865836,0.18805708286649855,0.7174703528453908,0.9158257258238292,-0.31523364343688975,0.38228018220010884,0.12138535971943032,0.7102188429045627,-0.26226832095142505,0.08305580295905579,0.5535279768890294,-0.24223897726608845,0.020151602528838408,0.20798830478314745,-0.31523364343688975,0.21531715630993098,1.0677375673727634,-0.248867610280761,0.0787117004463893,2.9039115251835494,-0.002166553021013762,0.002721510512688985,0.04019284681368618,0.04019284681368829,4,0.020151602528838408,0.6318734098967961
core025_vol12_0bp,0.25,0.75,vol12,0.0,3.3969505690691015,0.0893551235186838,0.1479961888807142,0.6687902898661666,0.8020807971805881,-0.25207520579907294,0.3544780345826952,0.9047453293850696,0.07721944100851674,0.13503619770513417,0.6319523388045802,0.7628829035423464,-0.21784533153734864,0.35446911101364503,1.3084191367927578,0.1018619867467132,0.16001314591985882,0.7046269346268389,0.8466058271016103,-0.2520752057990733,0.40409363715012264,0.08195859394619376,0.641486245891582,-0.21784533153734864,0.07207216607630929,0.6214733327377622,-0.18188949321612946,0.011929883874582048,0.15942885259425865,-0.2520752057990733,0.18611743510864898,1.0514906735393181,-0.22757871358521287,0.3405676892348989,3.7214499842324806,-0.025425081673554173,-0.016657243379342823,0.10259315457679719,0.10259315457679519,4,0.011929883874582048,0.6314797893146721
core050_vol15_10bp,0.5,0.5,vol15,10.0,4.030908059639288,0.09786781589100513,0.16410207212169614,0.6673081822795118,0.8267962591650311,-0.3055070966038663,0.320345474717089,1.0603934814562481,0.087031659493497,0.1529929180446081,0.6354559960849299,0.7986632106086915,-0.25021269831205006,0.3478307059578424,1.4417219841345728,0.10905810252602799,0.17459751012808553,0.69823098889869,0.8580622692379993,-0.3055070966038651,0.35697404000875915,0.09851252935985544,0.683331022305144,-0.25021269831205006,0.07415205309375117,0.5755168092964007,-0.2188116426724912,0.00750148299583886,0.12607274818121086,-0.3055070966038651,0.2051530967525903,1.0815886898185982,-0.2488407968587616,0.2049862086055674,3.0528165691026703,-0.016484868717135726,-0.009094490241418285,0.0495404354845872,0.049540435484586975,4,0.00750148299583886,0.6294239158007724
core025_none_10bp,0.25,0.75,none,10.0,5.467008963296717,0.11391681404663068,0.19208667444752084,0.6738268670738532,0.8506885660864402,-0.299745336176403,0.38004532614175374,1.340290396286608,0.10313394308050161,0.1846433469364281,0.6370663764927743,0.8114019280522288,-0.26449098269696547,0.38993368329182315,1.7633361114321904,0.12508488451611055,0.19931595077208636,0.7091656603476533,0.8908664711910522,-0.29974533617640176,0.4173038557053559,0.1243980439282304,0.7110854529263768,-0.26449098269696547,0.07921854518798188,0.5411862441002173,-0.24576193840337224,0.025537795462453827,0.24133261928308386,-0.29974533617640176,0.21904615400012073,1.0127514463684513,-0.26553721302983535,0.11812832469612271,4.165609983603311,-0.00043587056151017656,0.0069322917486642766,0.055302195912050545,0.05530219591205032,4,0.025537795462453827,0.6261358485132971
core050_vol12_10bp,0.5,0.5,vol12,10.0,3.0296695054979796,0.08387741663296056,0.14169213982378417,0.655450102470804,0.7987535189589042,-0.2718949221609668,0.30849203054738766,0.8627376748156228,0.0744497957236161,0.13219262874925095,0.6227380463636059,0.7646139870968834,-0.22351461278141016,0.33308692795144235,1.1633048818303466,0.09359797839456618,0.15067241220350067,0.6870719505773502,0.8352224928445622,-0.2718949221609669,0.34424320119944873,0.07550378422864767,0.61185288183395,-0.22351461278141016,0.07358639051470184,0.6378108387153776,-0.1808674103303819,0.0022397129785569625,0.08175017160058048,-0.2718949221609669,0.17932194637358778,1.0904004092735524,-0.21311334256903136,0.3169644744419509,2.809869407077858,-0.030475267975180298,-0.02455461437288009,0.08315260992748674,0.08315260992748519,4,0.0022397129785569625,0.6248318602746639
core050_vol15_20bp,0.5,0.5,vol15,20.0,3.77864182202475,0.09460859668048349,0.1640793037932692,0.6487557764130829,0.8034949952604536,-0.30813839232024554,0.3070328107059039,1.0068903127415845,0.0837350564929622,0.1529750790931677,0.6151780056099179,0.7727231454009248,-0.25443609146724666,0.3291005454850785,1.381117588582466,0.10583068274165375,0.1745702569489719,0.6811283375834146,0.836845809873545,-0.308138392320246,0.3434517910759549,0.09583000010639053,0.6676502159288938,-0.25443609146724666,0.07013522020803964,0.5492815866398189,-0.21996308865687308,0.005072274445225178,0.10920424712533507,-0.308138392320246,0.20111757230008598,1.0639754224792395,-0.2488676102807611,0.2049862086055674,3.0528165691026703,-0.019316655445591913,-0.011955381394315623,0.04728809793033173,0.04728809793033206,4,0.005072274445225178,0.6084659012843563
core025_vol15_10bp,0.25,0.75,vol15,10.0,4.129592663320748,0.09910104835823108,0.17112313163801732,0.6536682791035758,0.7952429249316995,-0.28613644431933105,0.34634192996273255,1.033041604820013,0.08535595795991835,0.15579738861117454,0.6166464865410504,0.759066278326078,-0.2529360868454388,0.33746057758882253,1.5231124887751006,0.11328282035826343,0.18530749089707066,0.689627279769231,0.8370183594751448,-0.28613644431933105,0.3959048999429052,0.10203279469378024,0.6886662177833367,-0.2529360868454388,0.06654028380363197,0.5242681024276177,-0.22136150598185356,0.014411750155903347,0.1735919889651805,-0.28613644431933105,0.20659822369393832,1.0180810285758486,-0.26553721302983535,0.23376404741221515,4.1157648358810475,-0.015251636249909772,-0.004869772409182849,0.06891108776912247,0.06891108776912103,4,0.014411750155903347,0.6064671601054772
core025_vol12_10bp,0.25,0.75,vol12,10.0,3.129767663336917,0.08541549669262039,0.14795158680314957,0.6437808556269512,0.772014078109053,-0.2552873211343947,0.3345857377995433,0.8459884057660634,0.07333005486069766,0.13499330157255285,0.6046687637296134,0.7296296007637129,-0.22234847147162307,0.32979788156563206,1.2371579639597567,0.09786302632943644,0.15996680704023605,0.6813886287891958,0.818817809225956,-0.25528732113439434,0.3833446404411016,0.07904642244639115,0.6220275973733417,-0.22234847147162307,0.06702849075253203,0.5839594069233628,-0.1831144393137797,0.008911628007706396,0.135522661814444,-0.25528732113439434,0.1811392296298182,1.0279666050468552,-0.22762191441633994,0.3405676892348989,3.7214499842324806,-0.028937187915520468,-0.02028956643800983,0.09976021095405885,0.09976021095405774,4,0.008911628007706396,0.6029935021483522
core025_none_20bp,0.25,0.75,none,20.0,5.028499106144873,0.10940575151773735,0.1920614135690687,0.6521752799157648,0.8232358077985674,-0.30300756880783986,0.3610660682443872,1.257397628924763,0.09855112600716631,0.18462101216346988,0.6140270837503559,0.781916953835799,-0.2693058263021665,0.3659450200553403,1.670552599550816,0.12063818704660201,0.1992878732627613,0.688781280272063,0.865167895553257,-0.3030075688078402,0.398135886576179,0.12093545998520883,0.6949576270190669,-0.2693058263021665,0.07335475007332337,0.5087349183304601,-0.24732881180787958,0.022130693755479713,0.2202416746097539,-0.3030075688078402,0.2135521351526466,0.9922178108517319,-0.26556229442629864,0.11812832469612271,4.165609983603311,-0.004519500608338056,0.0028521229106326373,0.05241892144273741,0.052418921442737854,4,0.022130693755479713,0.6018462726747635
core025_vol15_20bp,0.25,0.75,vol15,20.0,3.785797683606371,0.09470326033420662,0.1710901990794333,0.6296777970022066,0.7660431998539735,-0.2893780600877085,0.3272648254864336,0.9627334055513888,0.08095523761441425,0.15577326458453833,0.5900063279524979,0.726299011311112,-0.25839234489515384,0.3133035448370691,1.438333025804846,0.10887950699958182,0.18526682709885872,0.6677182445490311,0.8103268102929856,-0.2893780600877087,0.3762534967805822,0.09857154705068072,0.6690678885299268,-0.25839234489515384,0.06105319938861986,0.4882401797796306,-0.22280958645575033,0.011106110430761262,0.1510099549685597,-0.2893780600877087,0.20108766486217955,0.9959098804970075,-0.26556229442629875,0.23376404741221515,4.1157648358810475,-0.019221991791868787,-0.00890655713638755,0.06604843016286877,0.06604843016286932,4,0.011106110430761262,0.5786540341547787
core025_vol12_20bp,0.25,0.75,vol12,20.0,2.878694826608013,0.08148809618932362,0.14791964347885367,0.6187033856626099,0.7419309653537658,-0.2584868935923388,0.3152503984122266,0.7890134728658209,0.06945260535862996,0.13496500132505776,0.5773054037662266,0.6968622809784787,-0.2274593864983422,0.3053406870906871,1.16806350842888,0.09387664143481733,0.1599315610157976,0.6580912074131596,0.7905453595042397,-0.25848689359233823,0.36317756823241854,0.07614085158807593,0.6025296492746501,-0.2274593864983422,0.0620054217027759,0.546301267060179,-0.1843380056597428,0.0059012023884070786,0.11157907108326241,-0.25848689359233823,0.17617921360567346,1.0043669314807577,-0.22766511524746735,0.3405676892348989,3.7214499842324806,-0.03243715593675178,-0.02390942270115204,0.09693959665823848,0.09693959665823981,4,0.0059012023884070786,0.5744154581674146
core075_vol12_0bp,0.75,0.25,vol12,0.0,3.032773402105689,0.08392564844603112,0.13832176765324952,0.6682644120290067,0.8265771089274283,-0.29467738307979496,0.284805191253192,0.9044353076087668,0.07719919942517506,0.13203429010678158,0.643155433848318,0.8016850750078862,-0.22591555507672978,0.34171706060237944,1.1175691219300528,0.0908917189606282,0.14438978962570173,0.6927334804213973,0.8522924991883644,-0.2946773830797963,0.3084448423244462,0.07319209565660634,0.5985941636579251,-0.22591555507672978,0.08230525671187028,0.7001721316704489,-0.18300204752069893,-0.003276564597508358,0.038237648899983365,-0.2946773830797963,0.17948333037466102,1.1613952137026995,-0.199067640475191,0.2933622501354218,1.8971132292889814,-0.03085455674620685,-0.02762751116542783,0.059990977296075165,0.05999097729607217,3,-0.003276564597508358,0.6493831476641869
