variant,rebalance,top_k,cash_rule,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,cash_exposure,annualized_turnover,signal_count
weekly_top3_none_10bp,weekly,3,none,10.0,2.128060010039802,0.0678506481948693,0.21361674918151188,0.42314373522457027,0.5530577977032495,-0.3865960189310965,0.17550788128256026,0.839153847287639,0.07227913172042633,0.2137377014877356,0.44134286785299665,0.5985356576662435,-0.3588346384331731,0.2014274096726788,0.7008147603600563,0.06351894400769353,0.21349325373690162,0.40459667054573445,0.5102950051021105,-0.3865960189310971,0.16430315082736147,0.0,27.29704364148287,907
weekly_top1_current_0bp,weekly,1,current,0.0,1.0844304620875609,0.043187835378100115,0.2407062333658651,0.3010780984901766,0.3956570987324627,-0.5170302756058955,0.08353057338371396,0.1616041045637322,0.01730549576473872,0.22835727033761896,0.19094374334145986,0.2592470913390714,-0.5170302756058955,0.0334709524397944,0.7944413711162088,0.07014765422719949,0.2526447412500258,0.4031699316165482,0.5193577851604669,-0.3782319947846291,0.18546197887659557,0.10089160018770531,42.748944157672454,907
monthly_top1_none_20bp,monthly,1,none,20.0,1.0636947075631817,0.04275964824460887,0.2614017615681649,0.29555906384645503,0.4038659178205676,-0.5005879812624605,0.08541884712607552,0.13057934947128347,0.01426873072988788,0.2476802274217565,0.1824325477408223,0.2579228756793073,-0.5005879812624605,0.02850394189229789,0.8253426515602544,0.07226839560089271,0.274543502935028,0.39934699497342846,0.5319700144369853,-0.4117403966347092,0.17551932283440314,0.0,17.160226201696513,209
monthly_top1_dual_trend_5bp,monthly,1,dual_trend,5.0,1.2132649000991291,0.046984902019181485,0.22750194045540936,0.3213785647174597,0.36920102261950616,-0.5068127366939534,0.09270663228725057,0.27153132995010454,0.02811914222129852,0.21859464379810797,0.239211223455104,0.27188397656583696,-0.5068127366939534,0.055482311681284154,0.7406294661933264,0.06637627006026725,0.23614568575265196,0.39863272643323744,0.4639312149360513,-0.2929500356091911,0.226578808643042,0.29359095193213947,15.141376060320454,209
monthly_top1_risk_off_5bp,monthly,1,risk_off,5.0,2.0675078850886908,0.06692199825845258,0.24365117167711148,0.3952991654035499,0.48991256513193765,-0.4365977852426526,0.15328066362329032,0.7322086373255636,0.06547642335495807,0.23071899572294258,0.3968983584906728,0.5109836822709832,-0.4365977852426526,0.14996966445573595,0.770865136560422,0.06850780351754748,0.2560438321974054,0.3948665114795718,0.4763931907085929,-0.3057036842377704,0.22409871731955786,0.17177191328934968,17.635249764373235,209
monthly_top1_current_30bp,monthly,1,current,30.0,0.6550000446779456,0.029544048592625494,0.2544783769082877,0.24506812835244238,0.32145719241736587,-0.48647055968957065,0.06073142146870781,-0.059515923081009725,-0.00705839295407229,0.24103003981989643,0.09045319601413443,0.11997876060329389,-0.48647055968957065,-0.014509393864608028,0.7597321265658121,0.06772672545534353,0.267344100659083,0.3864355223418663,0.5042893109830212,-0.35768651068208823,0.18934660221374422,0.08741753063147974,17.516493873704054,209
monthly_top3_dual_trend_30bp,monthly,3,dual_trend,30.0,0.60192436868772,0.02760644297176751,0.18960589720518425,0.24304759997929262,0.2634569554421998,-0.5065965116279174,0.054493946046047306,0.024445349548065654,0.0027919047607525282,0.18630769079284087,0.10897019580257697,0.11562642642580112,-0.5065965116279174,0.0055111014321454965,0.5636991952712838,0.05320406649276399,0.19286427200850387,0.37388299584569734,0.413869895651579,-0.3080374354082315,0.17271948268967524,0.29359095193213947,12.212064090480677,209
weekly_top1_none_5bp,weekly,1,none,5.0,0.9462583920425456,0.039077235165903446,0.2533857151767832,0.282354800156231,0.39219037073797025,-0.5272186323491512,0.07411960194158028,0.14312107703050114,0.015438335875045173,0.2437955912192572,0.18606168635868342,0.2732134016252539,-0.5006218569112698,0.03083831770809292,0.702582894454514,0.06364708367766414,0.2627785199894156,0.3736965811771775,0.49625014304301046,-0.4557601549780066,0.13965039063306342,0.0,41.80290943219146,907
monthly_top1_dual_trend_10bp,monthly,1,dual_trend,10.0,0.9481683915723098,0.03929372047835478,0.22751983148390365,0.2880784441354213,0.33099243376873233,-0.5136914543642935,0.07649284438064435,0.18721450852789667,0.02000805037650566,0.21864900360093817,0.20212152155530166,0.22976026135463626,-0.5136914543642935,0.03894954881284941,0.6409573649735536,0.05910993941791176,0.23612914157534692,0.3688474249247288,0.42930737560656773,-0.295018690505534,0.20035998165615534,0.29359095193213947,15.141376060320454,209
monthly_top1_risk_off_10bp,monthly,1,risk_off,10.0,1.644180423576337,0.057804356030663806,0.24365369482743185,0.3591059023067261,0.44518581590769934,-0.446662157192367,0.1294140439253035,0.591786887251804,0.055128752110849666,0.2307409684615197,0.3535747740896275,0.45528914703841405,-0.446662157192367,0.12342382541959335,0.661139719615027,0.0606122023036173,0.25602847263783807,0.36506397201181207,0.44055189691145036,-0.3098808026604081,0.19559844231474047,0.17177191328934968,17.635249764373235,209
