0,monthly_top1_none_10bp,monthly_top1_current_10bp,monthly_top1_dual_trend_10bp,monthly_top1_risk_off_10bp,monthly_top3_none_10bp,monthly_top3_current_10bp,monthly_top3_dual_trend_10bp,monthly_top3_risk_off_10bp
2016-03-31,1.0040936354936945,0.9767888766717754,0.8420465169185856,1.1668766803641712,1.4521363659854651,1.1915174664678403,0.9689200917492792,1.3736823380616263
2016-04-01,0.9763782667449783,0.9767888766717754,0.8420465169185856,1.1645429270034429,1.4104975097430925,1.1915174664678403,0.9689200917492792,1.370934973385503
2016-04-04,0.9936245893245287,0.9767888766717754,0.8420465169185856,1.1851129085985792,1.4200529301548888,1.1915174664678403,0.9689200917492792,1.3802223772536026
2016-04-05,0.9764358448054412,0.9767888766717754,0.8420465169185856,1.1646116013332048,1.3932389130004872,1.1915174664678403,0.9689200917492792,1.3541604568035457
2016-04-06,0.975856677256122,0.9767888766717754,0.8420465169185856,1.163920818369182,1.3924001880111685,1.1915174664678403,0.9689200917492792,1.3533452569092057
2016-04-07,0.9733706598222313,0.9767888766717754,0.8420465169185856,1.1609557031903115,1.3937248640578608,1.1915174664678403,0.9689200917492792,1.3546327775948304
2016-04-08,0.991605970263778,0.9767888766717754,0.8420465169185856,1.1827052673906808,1.4100831195204242,1.1915174664678403,0.9689200917492792,1.3705322062448584
2016-04-11,0.9884628855517114,0.9767888766717754,0.8420465169185856,1.1789564569192923,1.409193161772217,1.1915174664678403,0.9689200917492792,1.3696672106008216
2016-04-12,0.9776178885171914,0.9767888766717754,0.8420465169185856,1.1660214449264228,1.4033077210220053,1.1915174664678403,0.9689200917492792,1.3639468484573087
2016-04-13,0.992788013975528,0.9767888766717754,0.8420465169185856,1.1841151109838985,1.4296383278761096,1.1915174664678403,0.9689200917492792,1.3895389176083777
2016-04-14,1.014261243581645,0.9767888766717754,0.8420465169185856,1.2097265963164126,1.4618391546928264,1.1915174664678403,0.9689200917492792,1.4208365550377464
2016-04-15,1.0106135041043978,0.9767888766717754,0.8420465169185856,1.2053758755430577,1.4568624621088615,1.1915174664678403,0.9689200917492792,1.4159994519106458
2016-04-18,0.9838295451571858,0.9767888766717754,0.8420465169185856,1.1734301932071427,1.4214433945331628,1.1915174664678403,0.9689200917492792,1.3815738409976042
2016-04-19,1.0074805802265134,0.9767888766717754,0.8420465169185856,1.2016391840710183,1.4553439267308943,1.1915174664678403,0.9689200917492792,1.414523509384269
2016-04-20,1.0088793884011866,0.9767888766717754,0.8420465169185856,1.2033075663174615,1.4541674477812634,1.1915174664678403,0.9689200917492792,1.413380029068735
2016-04-21,1.0271553421795205,0.9767888766717754,0.8420465169185856,1.2251056065152977,1.4788354898989855,1.1915174664678403,0.9689200917492792,1.437356166162583
2016-04-22,1.0203814527138537,0.9767888766717754,0.8420465169185856,1.217026273602815,1.4764393148353454,1.1915174664678403,0.9689200917492792,1.4350272005498066
2016-04-25,1.0058209773074411,0.9767888766717754,0.8420465169185856,1.1996597475074793,1.4570354989537138,1.1915174664678403,0.9689200917492792,1.4161676353073929
2016-04-26,1.013106295427753,0.9767888766717754,0.8420465169185856,1.2083490700548392,1.4589315258175386,1.1915174664678403,0.9689200917492792,1.4180104811969751
2016-04-27,1.0249809236610277,0.9767888766717754,0.8420465169185856,1.2225121406503743,1.461605140184694,1.1915174664678403,0.9689200917492792,1.4206091043182216
2016-04-28,0.9932655731828504,0.9767888766717754,0.8420465169185856,1.1846847039542199,1.4266132178316686,1.1915174664678403,0.9689200917492792,1.3865986577854306
2016-05-02,0.9857481612877776,0.9748352989184318,0.8420465169185856,1.1757185592232813,1.404603857496697,1.1891344315349046,0.9689200917492792,1.365206630067103
2016-05-06,0.9897813149093877,0.978823802950912,0.8420465169185856,1.1805289699867474,1.3984655439744957,1.183937749266201,0.9689200917492792,1.359240487888856
2016-05-09,1.00031095588224,0.9892368740662206,0.8420465169185856,1.1930878514535588,1.4049687701200941,1.1894433657320218,0.9689200917492792,1.365561307387828
2016-05-10,1.0211086011793535,1.00980427613322,0.8420465169185856,1.2178935559166693,1.4223482959266138,1.204156832756891,0.9689200917492792,1.3824533611379644
2016-05-11,1.0110331219362116,0.9998403388869123,0.8420465169185856,1.2058763608515977,1.4181474538988852,1.2006004094493872,0.9689200917492792,1.3783703470144373
2016-05-12,0.9994816170714422,0.988416716566284,0.8420465169185856,1.1920986849807902,1.4159320659218295,1.1987248670260449,0.9689200917492792,1.3762170976564028
2016-05-13,1.0002418443146897,0.9891685276079084,0.8420465169185856,1.1930054209141807,1.3991488955040896,1.1845162731171395,0.9689200917492792,1.3599046723376516
2016-05-16,0.9916572003147456,0.9806789211055122,0.8420465169185856,1.1827663703417979,1.3897158520068498,1.1765302799441422,0.9689200917492792,1.350736212878132
2016-05-17,1.010692500638919,0.9995034884851518,0.8420465169185856,1.2054700960502813,1.4074751395077882,1.191565252355887,0.9689200917492792,1.367997376523773
2016-05-18,1.0064717584767653,0.995329472637204,0.8420465169185856,1.2004359452513012,1.422021858414573,1.2038804715015514,0.9689200917492792,1.3821360797540618
2016-05-19,1.007710830152445,0.9965548269972512,0.8420465169185856,1.2019138070648105,1.4081909651558808,1.1921712687216968,0.9689200917492792,1.3686931242362201
2016-05-20,1.0087475036659324,0.997580023872162,0.8420465169185856,1.2031502651557597,1.4154715000038045,1.1983349529672216,0.9689200917492792,1.3757694499858406
2016-05-23,1.0086932017199917,0.9975263230834801,0.8420465169185856,1.2030854983033814,1.4117739277515142,1.1952045967071137,0.9689200917492792,1.372175589605181
2016-05-24,1.0072023664767547,0.9960519923395298,0.8420465169185856,1.201307353810646,1.4052050754610481,1.189643421296289,0.9689200917492792,1.3657909846854293
2016-05-25,0.9961988176120066,0.985170259795675,0.8420465169185856,1.1881832343593821,1.4107781682993017,1.1943615890193358,0.9689200917492792,1.3712077598510073
2016-05-26,1.0076861474497232,0.9965304175478292,0.8420465169185856,1.2018843675864315,1.4162684583092813,1.1990096560562684,0.9689200917492792,1.3765440546950025
2016-05-27,1.0065902354497585,0.9954466379943597,0.8420465169185856,1.2005772547474376,1.4248529345074512,1.2062772540836073,0.9689200917492792,1.3848877480138302
