0,monthly_current_top3_none_10bp,monthly_current_top3_ma200_10bp,monthly_current_top3_ma200_r6_10bp,monthly_current_top3_ma200_r12_10bp,monthly_medium_3_6_12_top3_none_10bp,monthly_medium_3_6_12_top3_ma200_10bp,monthly_medium_3_6_12_top3_ma200_r6_10bp,monthly_medium_3_6_12_top3_ma200_r12_10bp,monthly_classic_6_12minus1_top3_none_10bp,monthly_classic_6_12minus1_top3_ma200_10bp,monthly_classic_6_12minus1_top3_ma200_r6_10bp,monthly_classic_6_12minus1_top3_ma200_r12_10bp,monthly_long_6_12_top3_none_10bp,monthly_long_6_12_top3_ma200_10bp,monthly_long_6_12_top3_ma200_r6_10bp,monthly_long_6_12_top3_ma200_r12_10bp,bimonthly_current_top3_none_10bp,bimonthly_current_top3_ma200_10bp,bimonthly_current_top3_ma200_r6_10bp,bimonthly_current_top3_ma200_r12_10bp,bimonthly_medium_3_6_12_top3_none_10bp,bimonthly_medium_3_6_12_top3_ma200_10bp,bimonthly_medium_3_6_12_top3_ma200_r6_10bp,bimonthly_medium_3_6_12_top3_ma200_r12_10bp,bimonthly_classic_6_12minus1_top3_none_10bp,bimonthly_classic_6_12minus1_top3_ma200_10bp,bimonthly_classic_6_12minus1_top3_ma200_r6_10bp,bimonthly_classic_6_12minus1_top3_ma200_r12_10bp,bimonthly_long_6_12_top3_none_10bp,bimonthly_long_6_12_top3_ma200_10bp,bimonthly_long_6_12_top3_ma200_r6_10bp,bimonthly_long_6_12_top3_ma200_r12_10bp,benchmark_monthly_equal_weight_10bp,benchmark_bimonthly_equal_weight_10bp,benchmark_buyhold_equal_weight_10bp
2019-02-27,1.6569476674883643,1.269707190436163,1.2771369258792236,1.2896690430618787,1.8286745558691189,1.6350733862302096,1.4563152017308052,1.7825857482237113,1.800052052998342,1.7638945368386318,1.6478104770193833,2.0688776953065813,1.6924681018770182,1.7143192363716084,1.5806456125757813,1.6847555448131621,1.6302492452476036,1.3289070808788375,1.3365820649788969,1.4838300142670686,1.6411037988271833,1.6338976613421925,1.507020474429756,1.958750534143102,1.7994154282181625,1.7839478926990302,1.8378381080096398,1.9704900095112905,1.6703559570576312,1.6198285588693786,1.6356070283816748,1.6801415471732595,2.26978885040486,2.0685174039247354,2.2574649046641553
2019-02-28,1.641378303716682,1.2646386139035444,1.2720386903961052,1.2845207803003968,1.8114915754171754,1.628546295057552,1.450501699916223,1.775469798689139,1.787716822489257,1.7568532012277314,1.641232540328992,2.0606188896431377,1.6815978861147334,1.7074758016676552,1.5743357930216082,1.6780301261639177,1.6149307508643471,1.3236021827929572,1.331246528928145,1.4779066753702275,1.6256833105810091,1.6273752635757164,1.5010045609432405,1.9509313479044215,1.7870845603125913,1.776826505585169,1.8305015951701638,1.9626239601613316,1.6596277609794319,1.613362323912065,1.6290778069492957,1.6734345472589292,2.251897790405901,2.0522128172774323,2.239936891362115
2019-03-01,1.6451704520098243,1.2624232118082674,1.2698103247990131,1.2822705484975578,1.8168632151098418,1.6256933971350465,1.447960701665918,1.7723595192236279,1.7902756189568125,1.753775534437944,1.638357418560048,2.0570090841576074,1.6805615208782374,1.7044846345254683,1.5715778614068494,1.675090542146341,1.6197416239653388,1.3217353404324952,1.3293689047864432,1.4758221980081783,1.630526215520072,1.6250799718952504,1.4988875057328126,1.9481797044499387,1.7908363427052103,1.7743204240518047,1.8279198089180844,1.959855825147565,1.659711410158236,1.6110867964399833,1.626780113958125,1.671074292387113,2.2610967957924792,2.0606241168556974,2.251386212622935
2019-03-04,1.6410378485112531,1.256370187847699,1.2637218813598465,1.276122361200788,1.809434327727696,1.6178985776217856,1.4410180688474106,1.7638614699670432,1.7930114531471832,1.7453665910407403,1.6305018780267633,2.0471462068300603,1.6831296939679872,1.6963120294618894,1.564042513227241,1.667058874879062,1.6130232977413321,1.3171749894463483,1.3247822159006697,1.4707302049213764,1.6237631572207853,1.6194729983766525,1.4937159309812023,1.9414579478587346,1.7811086411257326,1.7681985298661522,1.821612982091112,1.953093782723858,1.6536061790076604,1.6055281032310167,1.6211672744811194,1.6653086257940424,2.275255359637296,2.0734736765747854,2.2663556619258323
2019-03-05,1.6360654253853062,1.2550419543897775,1.262385875698008,1.2747732457625647,1.805094547104424,1.6161881366680708,1.439494625812049,1.7619967171718798,1.78715763196622,1.7435213910153162,1.628778112874942,2.044981965660165,1.6776346145943646,1.6945186898758349,1.562389008857451,1.6652964617023114,1.6091809395683876,1.3165125615120128,1.3241159621729912,1.4699905516638998,1.6198952157925308,1.6186585400384499,1.492964717842043,1.940481558245886,1.7750153242871796,1.7673092751285364,1.8206968643887917,1.9521115412673928,1.6499379419224995,1.6047206579990148,1.6203519640649247,1.6644711160008452,2.264528583338423,2.063689764210121,2.2549774930256374
2019-03-06,1.6367006086922333,1.2550796260795767,1.262423767825,1.274811509712316,1.8049950265917083,1.6162366486225348,1.4395378340847458,1.7620496057574162,1.7824970688110098,1.7435737250403032,1.6288270027336478,2.0450433484099495,1.6732596663901138,1.6945695530220595,1.56243590596227,1.665346447705974,1.609088001607899,1.3178593158248324,1.3254704945450042,1.4714943095262507,1.6198016590309143,1.6203143809574878,1.4944919776126084,1.9424666148142131,1.7695123185782542,1.76911718145465,1.8225593846762067,1.9541084949723293,1.6491940739429092,1.6063622408674294,1.622009537307814,1.6661738218614435,2.257470934514178,2.0573041621408557,2.247524484885305
2019-03-07,1.6318038363443068,1.2540343117546466,1.2613723368072234,1.2737497613538866,1.806472702679324,1.6148905385541565,1.4383388906169532,1.7605820528979301,1.7748623975477666,1.742121560131014,1.6274704065755945,2.04334009941859,1.6660928734037705,1.6931582020674611,1.5611346047536854,1.6639594357096148,1.6103502065287587,1.315007043479366,1.3226017491554736,1.468309521533197,1.6210722679862994,1.6168074983606349,1.49125741525297,1.93826249094386,1.7671629581801471,1.7652882416338662,1.8186147787016087,1.949879174320783,1.644345081328295,1.6028855551989292,1.6184989858462187,1.6625676846525859,2.2422482224256823,2.043375470697274,2.232754726114389
2019-03-08,1.607209148500521,1.2423178923581086,1.2495873583782473,1.2618491408761416,1.7816878560853717,1.599802646100299,1.4249005169465871,1.7441329673183597,1.7496924061244041,1.7258449505941615,1.612264980647325,2.024249210636565,1.6424653835250969,1.677339056280012,1.5465489529957603,1.648413093456569,1.5882524191246106,1.3074301818169565,1.3149811280055694,1.4598493553482161,1.5988273487137774,1.6074917104258328,1.482665026950229,1.927094530413047,1.7411277892186037,1.7551169312462442,1.8081362092796711,1.938644280305956,1.6215070716727584,1.593649983288772,1.6091734518292602,1.6529882337945323,2.2013717410951545,2.006166139267219,2.193504596806206
2019-03-11,1.6281405272060034,1.257034341466137,1.2643899212961032,1.2767969563893387,1.8096109534995273,1.6187538456032982,1.4417798326761901,1.7647938981550348,1.7734336015125933,1.746289242300817,1.6313638084773865,2.04822838752321,1.6647516387846593,1.6972087490619439,1.5648693113354724,1.6679401304155346,1.6131936828148732,1.3192991385251245,1.3269186328126452,1.4731019856148628,1.6239346767551555,1.6220846499075177,1.4961247797250434,1.9445888500884831,1.7672128497983517,1.7710500243967975,1.8245506157151925,1.9562434495430558,1.644800771979298,1.6081172664543943,1.623781658295132,1.6679941943872065,2.2169709515655125,2.020419363434102,2.2074781216090353
2019-03-12,1.6460898347510224,1.2646199338442916,1.2720199010298412,1.2845018065603704,1.8337367969406402,1.6285222396942625,1.4504802744612328,1.775443573109217,1.7950494251983222,1.7568272506347822,1.641208297576348,2.0605884521074396,1.6850427722524164,1.7074505804314877,1.5743125384051717,1.678005339871739,1.6345574501234252,1.3239251848435807,1.3315713964482496,1.4782673327437046,1.6454406886668493,1.6277723961538448,1.5013708549532403,1.951407438707376,1.7860461844835296,1.777260109134912,1.830948297190299,1.9631029043425787,1.6629708930427567,1.6137560368764259,1.6294753550034695,1.6738429198027156,2.2487413054561505,2.0494185669431353,2.239980579202137
