variant,offset_trade_days_before_month_end,core_share,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,rolling3y_positive_alpha_share,rolling3y_median_ann_alpha,rolling3y_worst_ann_alpha,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_same_offset_ew,holdout_cagr_alpha_vs_same_offset_ew,full_mdd_improvement_vs_same_offset_ew,holdout_mdd_improvement_vs_same_offset_ew,positive_era_count,worst_era_cagr
offset5_core075_10bp,5,0.75,10.0,4.954526828397733,0.10846993728793053,0.1854945175461123,0.6637510642435882,0.8676279953113668,-0.3659202643088866,0.2964305283633243,1.342920572317139,0.1030035433562515,0.18764420765592607,0.6293340364156955,0.8342410415327989,-0.26747981641742546,0.38508903114957105,1.5414975218339415,0.11422042188042436,0.18329316404535773,0.6994970979365258,0.9015431140643009,-0.36592026430888536,0.31214565855256143,0.11761448311670941,0.6892985685680276,-0.26747981641742546,0.08654616566279949,0.5556546708173014,-0.26645953852400084,0.01190118950512531,0.15668550760979702,-0.36592026430888536,0.21107837039464528,1.1076986736986625,-0.23348444259152246,0.24699484831139096,-0.004267770094525997,-0.021914289168508974,0.037447264464374665,1.7464622255059925,-0.005123341092301947,-0.0035921894922490427,-0.011632975275003399,-0.01163297527500251,4,0.01190118950512531
offset10_core075_10bp,10,0.75,10.0,5.017173349366834,0.10901280792803969,0.1848249415820141,0.6681864915323541,0.8726894441615352,-0.3591673978125349,0.30351532068881765,1.3873995885412582,0.1051508519070099,0.18727694324570232,0.6407771797347317,0.8503243358712294,-0.26676219596361206,0.39417448760750606,1.5203880314997478,0.11314336476249176,0.18230415638894826,0.6968678645726697,0.8956677391329751,-0.3591673978125337,0.31501568753616827,0.1220230320724911,0.7069657018251354,-0.26523042834776056,0.08604021381806315,0.5578884261367044,-0.26676219596361217,0.004899647171384913,0.11411339547673845,-0.3591673978125337,0.21615338630910497,1.1343748227902415,-0.23309913179226582,0.40611603315232925,-0.0047976846819450135,-0.019982225006190478,0.03871617478616016,1.7429155356211097,-0.004700911978112288,-0.0048349812532997305,-0.004333418733022842,-0.004333418733021066,4,0.004899647171384913
offset0_core025_20bp,0,0.25,20.0,5.028499106144873,0.10940575151773735,0.1920614135690687,0.6521752799157648,0.8232358077985674,-0.30300756880783986,0.3610660682443872,1.257397628924763,0.09855112600716631,0.18462101216346988,0.6140270837503559,0.781916953835799,-0.2693058263021665,0.3659450200553403,1.670552599550816,0.12063818704660201,0.1992878732627613,0.688781280272063,0.865167895553257,-0.3030075688078402,0.398135886576179,0.12093545998520883,0.6949576270190669,-0.2693058263021665,0.07335475007332337,0.5087349183304601,-0.24732881180787958,0.022130693755479713,0.2202416746097539,-0.3030075688078402,0.2135521351526466,0.9922178108517319,-0.26556229442629864,0.408999713384924,-0.004685444387437701,-0.04762347196098703,0.11812832469612242,4.165609983603311,-0.004519500608338056,0.0028521229106326373,0.05241892144273741,0.052418921442737854,4,0.022130693755479713
offset3_core025_20bp,3,0.25,20.0,4.334398549318772,0.10152325239746807,0.19534322463032422,0.6068933404993249,0.762338617196718,-0.421199518030259,0.24103363857642074,1.0492754543985896,0.08623930255465595,0.1856413874599808,0.549397377003566,0.700769470406011,-0.28423078621255604,0.3034129543242501,1.6030656532136551,0.11731721227031922,0.20467844595908427,0.66100986238608,0.8216380503624403,-0.42119951803025846,0.2785312120463806,0.12157511146125,0.697097740481088,-0.28423078621255604,0.046539924630710994,0.35530328334041356,-0.25141797558847145,-0.0026196957433567425,0.06888635320335386,-0.42119951803025846,0.23262688608962034,1.0475407185789634,-0.2663898525750267,0.39461626575028635,-0.00922832243046745,-0.0962497364313134,0.1142769979314292,4.564872510773036,-0.012915934920351813,-0.0010671753269249074,-0.06623347133308433,-0.06623347133308355,3,-0.0026196957433567425
offset5_core025_20bp,5,0.25,20.0,3.5369972056249974,0.09121029410776527,0.1948450701514025,0.5584310799990561,0.6980800293035735,-0.39672679902484775,0.22990706534562236,0.9896369306309047,0.0824385743671503,0.18481346990793876,0.5317684277359661,0.6760302535099926,-0.2968426498457497,0.27771809209353304,1.280314129566527,0.10029802981568947,0.20449296100046527,0.5841851810633101,0.7218306639486782,-0.39672679902484764,0.25281385089744757,0.10903757676797188,0.6399757034664738,-0.2968426498457497,0.05231725561245293,0.3894271556507745,-0.2606057548428703,0.0016185468568550299,0.09346946539197912,-0.39672679902484764,0.19347046950479196,0.899484866918065,-0.2683801093877939,0.16370921579851175,-0.018538635722468014,-0.0697337278853286,0.11260795233970106,4.551493746234359,-0.02196903402733641,-0.017150166441737946,-0.04206009605231309,-0.04206009605231309,4,0.0016185468568550299
offset10_core025_20bp,10,0.25,20.0,3.6493238020716916,0.09264465568576408,0.19311580969826614,0.5686794622574176,0.7102009864156407,-0.3751935895957935,0.24692494289567352,1.103742936127937,0.08920623937228966,0.18398652197591014,0.5679842920399915,0.7257754733048755,-0.2863092946073492,0.31157297737968664,1.2100246766028668,0.09631073420901548,0.20195312301148252,0.5705091118717874,0.7005486243172296,-0.37519358959579385,0.2566961080352509,0.12307125679777853,0.6984902506313498,-0.2863092946073492,0.0508903416769515,0.388943015385026,-0.25549886309327907,-0.020004720407640675,-0.04449253185495682,-0.37519358959579385,0.20793063145452262,0.9610093053111605,-0.26634251117701635,0.3546727636467562,-0.02046590562935892,-0.06501999277083395,0.11672346651129364,4.5259946635665,-0.02065186942766095,-0.021297961356555817,-0.02000025603524269,-0.020000256035244246,3,-0.020004720407640675
offset0_core050_20bp,0,0.5,20.0,5.2536027975937785,0.11175869910506164,0.18580871556114337,0.6793709513386486,0.8763531162098556,-0.3152336434368911,0.3545265596863091,1.3440437970062589,0.10333803664927377,0.18355267727042013,0.6408092188861328,0.8360312947674655,-0.26226832095142505,0.3940164647960403,1.667869433830833,0.12050757464865836,0.18805708286649855,0.7174703528453908,0.9158257258238292,-0.31523364343688975,0.38228018220010884,0.12138535971943032,0.7102188429045627,-0.26226832095142505,0.08305580295905579,0.5535279768890294,-0.24223897726608845,0.020151602528838408,0.20798830478314745,-0.31523364343688975,0.21531715630993098,1.0677375673727634,-0.248867610280761,0.4287761536256807,-0.0024268602592060107,-0.03142056612510915,0.0787117004463893,2.9039115251835494,-0.002166553021013762,0.002721510512688985,0.04019284681368618,0.04019284681368829,4,0.020151602528838408
offset3_core050_20bp,3,0.5,20.0,4.782438125198754,0.1066661082623559,0.18814818758302984,0.6481152502407688,0.8319800156610667,-0.39861354981408426,0.26759278080764093,1.1995541176109477,0.09513833334219535,0.18405440572023662,0.5979639410408286,0.7812283915253564,-0.2730265290242232,0.3484582017806576,1.6289137779794145,0.118598071832269,0.19219498174602437,0.6969741709170734,0.8805200236666998,-0.3986135498140848,0.29752644356315455,0.12203502807986077,0.7123106308865687,-0.2730265290242232,0.06481064567478034,0.4531316302161948,-0.25094855659695536,0.0035483056959249026,0.10568666668426954,-0.3986135498140848,0.22871593973482862,1.1088235845147962,-0.24970082236978797,0.4075028636884307,-0.005561270133159374,-0.06445013107261204,0.07608550171703996,3.1681579594461877,-0.007773079055463983,0.0002136842350248802,-0.04364750311690957,-0.0436475031169099,4,0.0035483056959249026
offset5_core050_20bp,5,0.5,20.0,4.149985052653158,0.09922145758736955,0.1877512261116199,0.6122390479177325,0.7838059950182875,-0.3819634213943017,0.2597669096825453,1.1488123062706066,0.09207395035219568,0.1836362556825447,0.5834520623400001,0.760644181290447,-0.28186287170030433,0.3266622162641376,1.3966658407644972,0.1066655527115643,0.1918237975176359,0.6404143287198283,0.8064784320808907,-0.3819634213943035,0.2792559358752123,0.11283326636665492,0.6687931630075253,-0.28186287170030433,0.06856397008314796,0.47507890908626466,-0.2595331270140725,0.006279786588676561,0.12182448008242173,-0.3819634213943035,0.20156499620866009,0.9967250694475739,-0.24981611490844613,0.17372638809387522,-0.011814834631507586,-0.04659198101222079,0.07497942835556529,3.1540641183328524,-0.01395787054773212,-0.010782643545863113,-0.027296718421767063,-0.02729671842176895,4,0.006279786588676561
offset10_core050_20bp,10,0.5,20.0,4.240663296775348,0.10021319142776086,0.18648637720649136,0.6200837473332024,0.7928720511531092,-0.36751068240400475,0.2726810300376424,1.2294954378395744,0.0964960308617615,0.1829763686514876,0.6074668268387373,0.7941864164125128,-0.27525884510515997,0.3505646869400187,1.3506050776464704,0.10417819481907364,0.18997958815263083,0.6326257420555325,0.7928306902687182,-0.3675106824040051,0.28346984130532127,0.12206914528580115,0.7070874443925246,-0.27525884510515997,0.06746649511883995,0.47680820344755953,-0.259421410468205,-0.008008271447196624,0.031338988082307714,-0.3675106824040051,0.21137514168284177,1.0431769575905472,-0.24953798401744043,0.3646756216061732,-0.01316100544371144,-0.04290832497793757,0.07761831167951123,3.138882896730748,-0.013083333685664167,-0.013430500746497653,-0.012317348843453924,-0.012317348843455478,3,-0.008008271447196624
offset0_core075_20bp,0,0.75,20.0,5.405446786208073,0.11330122378074936,0.18443468065937366,0.6906849352662574,0.9059287531353111,-0.33265034166768204,0.34060155541321335,1.4178927999407587,0.10729594720477809,0.18752682006115678,0.6507292023756883,0.8625361553889884,-0.25918183238666603,0.41397942987263975,1.6491855992809294,0.11959484078007554,0.1812591293466527,0.7326199970189419,0.9506376612164515,-0.3326503416676797,0.3595211722330101,0.12078721654143632,0.7056089328659173,-0.25881478714071526,0.0922170378014624,0.5838874636877783,-0.25918183238666637,0.01740318554192366,0.18999819926922593,-0.3326503416676797,0.21629685215828998,1.1400126819688567,-0.23276219402788623,0.4488392089423904,-0.0008128804720800671,-0.015508486832997223,0.03934136156422066,1.6310054949753878,-0.0006240283453260442,0.0018087766441061692,0.022776148582895228,0.022776148582898337,4,0.01740318554192366
offset3_core075_20bp,3,0.75,20.0,5.188351666590535,0.11101094416686186,0.1857096507179186,0.6757708931541495,0.8844704324054654,-0.3764606462365315,0.29488060777835806,1.346844519257457,0.10335293901812381,0.18779397940731704,0.6305299251464449,0.8371163026279727,-0.26516078807109134,0.38977459589694013,1.6368818282638191,0.11899067005971142,0.18357746813067463,0.7226475780091758,0.9324807311156947,-0.37646064623653264,0.3160773144530725,0.12165519034545325,0.7084068971401788,-0.26516078807109134,0.0827330631817611,0.5351143838483319,-0.2636577613510567,0.00906030262363533,0.13975081034199274,-0.37646064623653264,0.22372841166812085,1.1645644731676408,-0.23335640237799138,0.4206758304696449,-0.0024356313692121163,-0.03231766300594624,0.037998319884675384,1.7591223727986092,-0.0034282431509580213,0.0006062824624673002,-0.02149459953935684,-0.02149459953935773,4,0.00906030262363533
offset5_core075_20bp,5,0.75,20.0,4.78168308910538,0.10658687058322669,0.18549250029787648,0.6543347032001855,0.8554394576278357,-0.3678791406955262,0.2897333901066245,1.306770022994861,0.10103032661509292,0.18766084155584448,0.6195202382306282,0.8213638660292284,-0.2699897496599488,0.3742006011055615,1.506397703919816,0.1124251418533424,0.18327180601428744,0.6905001625165443,0.8900363467391345,-0.3678791406955253,0.30560346977213076,0.11581707730571744,0.6806473856041624,-0.2699897496599488,0.08436174963837462,0.5443900255875167,-0.267702298461978,0.01040304583109486,0.14765079450959054,-0.3678791406955253,0.20898480177605472,1.0985838354925375,-0.233510702605077,0.1886090440755581,-0.0056500756827447835,-0.023301793054614526,0.037447264464374665,1.7464622255059925,-0.006592457551874986,-0.0050230544040850145,-0.013212437722991521,-0.013212437722990744,4,0.01040304583109486
offset10_core075_20bp,10,0.75,20.0,4.842655817453757,0.10713247951714266,0.1848197904490092,0.6587628770849493,0.8604633665145572,-0.3609360586843975,0.29681844454011536,1.3512029725263375,0.103212662206428,0.18726330144753786,0.6312089299978788,0.8376398921137632,-0.26806171495731634,0.385033208576102,1.4849644568014013,0.11131791706859229,0.182307841373634,0.6875896997478159,0.8838778916763299,-0.3609360586843975,0.3084145083047208,0.12033393740036136,0.6989751832358437,-0.2672331713246274,0.08380733101566884,0.5462981764473388,-0.2680617149573168,0.003435160466403797,0.10516458979165562,-0.3609360586843975,0.2139617564887879,1.124748538661455,-0.2331236435540852,0.3761074592740783,-0.006283777816373885,-0.021193008514238765,0.03871617478616016,1.7429155356211097,-0.006164045596282364,-0.00629077849697901,-0.005742725123846659,-0.0057427251238478805,4,0.003435160466403797
